timestamp,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt,bytes_acked,state,packets_out,ca_name,retrans_out,total_retrans,sndbuf,retransmissions,duplicate_acks
1783709385,127.0.0.1,51592,127.0.0.1,18093,4,3,912,3651442,1,0,cubic,0,25,2626560,0,0
1783709386,127.0.0.1,13997,127.0.0.1,51592,10,2147483647,12138,1259952,1,0,cubic,0,3,2626560,0,0
1783709386,127.0.0.1,18093,127.0.0.1,51592,2,2,5324,9277146,1,1,cubic,0,13,2626560,0,0
1783709386,127.0.0.1,51592,127.0.0.1,13997,3,2,226,32887072,1,1,cubic,0,18,4194304,0,0
1783709386,127.0.0.1,51592,127.0.0.1,18093,4,3,912,3651442,1,1,cubic,0,25,2626560,0,0
1783709386,127.0.0.1,18093,127.0.0.1,51592,2,2,29936,9277351,1,1,cubic,0,13,2626560,0,0
1783709386,127.0.0.1,51592,127.0.0.1,18093,4,3,25922,3651516,1,1,cubic,0,26,2626560,0,0
1783709386,127.0.0.1,18093,127.0.0.1,51592,2,2,51855,9277596,1,0,cubic,0,13,2626560,0,0
1783709386,127.0.0.1,51592,127.0.0.1,18093,4,3,53182,3651554,1,0,cubic,0,26,2626560,0,0
1783709386,127.0.0.1,13997,127.0.0.1,51592,10,2147483647,12138,1259952,1,0,cubic,0,3,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,13997,3,2,25311,32887282,1,1,cubic,0,18,4194304,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,53182,3651554,1,0,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,51855,9277596,1,1,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,41098,127.0.0.1,20756,10,2147483647,200635,1,1,1,cubic,0,0,2626560,0,0
1783709387,127.0.0.1,41098,127.0.0.1,20756,10,2147483647,200694,38,1,0,cubic,0,0,2626560,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,70545,9277871,1,0,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,53182,3651554,1,4,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,70545,9277871,1,1,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,70545,9277871,1,1,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,13997,127.0.0.1,51592,10,2147483647,12138,1259952,1,0,cubic,0,3,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,71623,3651628,1,4,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,87722,3651900,1,4,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,70545,9277871,1,1,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,87722,3651900,1,4,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,13997,3,2,47235,32887406,1,1,cubic,0,18,4194304,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,70545,9277871,1,1,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,41098,127.0.0.1,20756,10,2147483647,200694,38,1,1,cubic,0,0,2626560,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,70545,9277871,1,1,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,13997,3,2,66386,32887490,1,0,cubic,0,18,4194304,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,102194,3652123,1,3,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,119656,3657099,1,2,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,51592,127.0.0.1,18093,4,3,129802,3659638,1,1,cubic,0,26,2626560,0,0
1783709387,127.0.0.1,13997,127.0.0.1,51592,10,2147483647,12138,1259952,1,1,cubic,0,3,2626560,0,0
1783709387,127.0.0.1,18093,127.0.0.1,51592,2,2,92089,9277985,1,1,cubic,0,13,2626560,0,0
1783709387,127.0.0.1,41098,127.0.0.1,20756,10,2147483647,206018,42,1,1,cubic,0,0,2626560,0,0
1783709387,127.0.0.1,41098,127.0.0.1,20756,10,2147483647,205333,163,1,0,cubic,0,0,2626560,0,0
