timestamp,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt,bytes_acked,state,packets_out,ca_name,retrans_out,total_retrans,sndbuf,retransmissions,duplicate_acks
1783710165,127.0.0.1,51592,127.0.0.1,18093,5,5,15734,3894103,1,1,cubic,0,30,2626560,0,0
1783710165,127.0.0.1,13997,127.0.0.1,51592,7,7,12939,1304950,1,0,cubic,0,6,2626560,0,0
1783710165,127.0.0.1,51592,127.0.0.1,13997,5,5,13139,32966201,1,1,cubic,0,22,4194304,0,0
1783710166,127.0.0.1,13997,127.0.0.1,51592,7,7,12939,1304950,1,0,cubic,0,6,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,13997,5,5,24233,32966216,1,1,cubic,0,22,4194304,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,26370,3894141,1,0,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,18074,9493683,1,1,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,26370,3894141,1,1,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,49812,127.0.0.1,20756,10,2147483647,102951,1,1,1,cubic,0,0,2626560,0,0
1783710166,127.0.0.1,49812,127.0.0.1,20756,10,2147483647,103256,38,1,0,cubic,0,0,2626560,0,0
1783710166,127.0.0.1,13997,127.0.0.1,51592,7,7,12939,1304950,1,0,cubic,0,6,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,28636,9493954,1,0,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,13997,5,5,33833,32966338,1,1,cubic,0,22,4194304,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,35745,3894215,1,1,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,49812,127.0.0.1,20756,10,2147483647,103256,38,1,1,cubic,0,0,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,53593,3894487,1,0,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,28636,9493954,1,1,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,49812,127.0.0.1,20756,10,2147483647,122589,42,1,1,cubic,0,0,2626560,0,0
1783710166,127.0.0.1,49812,127.0.0.1,20756,10,2147483647,129782,163,1,0,cubic,0,0,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,52694,9494153,1,1,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,13997,127.0.0.1,51592,7,7,12939,1304950,1,0,cubic,0,6,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,52694,9494153,1,1,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,52694,9494153,1,1,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,53593,3894487,1,3,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,53593,3894487,1,3,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,13997,5,5,54308,32966422,1,1,cubic,0,22,4194304,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,63087,3894645,1,2,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,70879,3894719,1,1,cubic,0,30,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,52694,9494153,1,1,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,18093,127.0.0.1,51592,3,2,59353,9494267,1,1,cubic,0,15,2626560,0,0
1783710166,127.0.0.1,51592,127.0.0.1,18093,5,5,75295,3894784,1,1,cubic,0,30,2626560,0,0
1783710167,127.0.0.1,13997,127.0.0.1,51592,7,7,12939,1304950,1,1,cubic,0,6,2626560,0,0
1783710167,127.0.0.1,51592,127.0.0.1,18093,5,5,75295,3894784,1,2,cubic,0,30,2626560,0,0
1783710167,127.0.0.1,51592,127.0.0.1,13997,5,5,63280,32966515,1,2,cubic,0,22,4194304,0,0
1783710167,127.0.0.1,50836,127.0.0.1,20756,10,2147483647,105100,1,1,1,cubic,0,0,2626560,0,0
1783710167,127.0.0.1,49812,127.0.0.1,20756,10,2147483647,129782,163,1,0,cubic,0,0,2626560,0,0
1783710167,127.0.0.1,18093,127.0.0.1,51592,3,2,59353,9494267,1,1,cubic,0,15,2626560,0,0
1783710167,127.0.0.1,51592,127.0.0.1,13997,5,5,63280,32966515,1,2,cubic,0,22,4194304,0,0
1783710167,127.0.0.1,51592,127.0.0.1,18093,5,5,78471,3900018,1,1,cubic,0,30,2626560,0,0
1783710167,127.0.0.1,13997,127.0.0.1,51592,7,7,12939,1304950,1,1,cubic,0,6,2626560,0,0
1783710167,127.0.0.1,13997,127.0.0.1,51592,7,7,29933,1305922,1,0,cubic,0,6,2626560,0,0
1783710167,127.0.0.1,49812,127.0.0.1,20756,10,2147483647,129782,163,1,0,cubic,0,0,2626560,0,0
1783710167,127.0.0.1,18093,127.0.0.1,51592,3,2,66095,9494604,1,1,cubic,0,15,2626560,0,0
1783710167,127.0.0.1,51592,127.0.0.1,13997,5,5,67906,32966625,1,2,cubic,0,22,4194304,0,0
1783710167,127.0.0.1,51592,127.0.0.1,18093,5,5,81930,3901501,1,1,cubic,0,30,2626560,0,0
1783710167,127.0.0.1,13997,127.0.0.1,51592,7,7,29933,1305922,1,0,cubic,0,6,2626560,0,0
1783710167,127.0.0.1,50836,127.0.0.1,20756,10,2147483647,104528,38,1,2,cubic,0,0,2626560,0,0
1783710167,127.0.0.1,50836,127.0.0.1,20756,10,2147483647,103995,32806,1,3,cubic,0,0,2626560,0,0
1783710167,127.0.0.1,18093,127.0.0.1,51592,3,2,71202,9498678,1,1,cubic,0,15,2626560,0,0
1783710167,127.0.0.1,51592,127.0.0.1,13997,1,3,71942,32966625,1,2,cubic,1,23,4194304,0,1
1783710167,127.0.0.1,51592,127.0.0.1,18093,5,5,84217,3903178,1,1,cubic,0,30,2626560,0,0
