timestamp,src_ip,src_port,dst_ip,dst_port,cwnd,ssthresh,srtt,bytes_acked,state,packets_out,ca_name,retrans_out,total_retrans,sndbuf,retransmissions,duplicate_acks
1783712530,127.0.0.1,13997,127.0.0.1,51592,7,7,11739,1599174,1,0,cubic,0,6,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,13997,5,3,589,35634406,1,1,cubic,0,30,4194304,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1720,4722972,1,0,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,18093,127.0.0.1,51592,4,3,6734,10314383,1,1,cubic,0,27,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1720,4722972,1,1,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1518,4723010,1,0,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,18093,127.0.0.1,51592,4,3,6124,10314484,1,1,cubic,0,27,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1518,4723010,1,1,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,18093,127.0.0.1,51592,4,3,5646,10314578,1,0,cubic,0,27,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1345,4723048,1,1,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,18093,127.0.0.1,51592,4,3,5646,10314578,1,0,cubic,0,27,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1192,4723063,1,1,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1059,4723335,1,0,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,18093,127.0.0.1,51592,4,3,5646,10314578,1,1,cubic,0,27,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,1059,4723335,1,1,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,18093,127.0.0.1,51592,4,3,7355,10314692,1,0,cubic,0,27,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,942,4723493,1,1,cubic,0,41,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,13997,5,3,648,35634488,1,0,cubic,0,30,4194304,0,0
1783712530,127.0.0.1,13997,127.0.0.1,51592,7,7,11739,1599174,1,1,cubic,0,6,2626560,0,0
1783712530,127.0.0.1,51592,127.0.0.1,18093,8,7,839,4723651,1,0,cubic,0,41,2626560,0,0
1783712531,127.0.0.1,18093,127.0.0.1,51592,4,3,7355,10314692,1,1,cubic,0,27,2626560,0,0
1783712531,127.0.0.1,51592,127.0.0.1,18093,8,7,839,4723651,1,1,cubic,0,41,2626560,0,0
1783712531,127.0.0.1,18093,127.0.0.1,51592,4,3,12096,10314771,1,1,cubic,0,27,2626560,0,0
1783712531,127.0.0.1,51592,127.0.0.1,18093,8,7,748,4727584,1,1,cubic,0,41,2626560,0,0
1783712531,127.0.0.1,51592,127.0.0.1,13997,5,3,648,35634488,1,0,cubic,0,30,4194304,0,0
1783712531,127.0.0.1,13997,127.0.0.1,51592,7,7,10287,1599351,1,1,cubic,0,6,2626560,0,0
